season,gameweek,player_name,position,price,expected_points,p_start,actual_state,actual_minutes,actual_points,selected_at_w0,selected_at_prod,selected_at_candidate,decision_delta,classification
2021-22,28,Jay Rodriguez,FORWARD,5.2,1.82,0.684,START,62,2,False,True,False,2,PENALTY_HURT
2021-22,28,Reece James,DEFENDER,6.2,2.12,0.0,NO_PLAY,0,0,True,False,True,0,PENALTY_HELPED
2022-23,2,Ivan Perišić,DEFENDER,5.5,1.18,0.234,SUB,11,4,False,True,False,4,PENALTY_HELPED
2022-23,2,Sam Greenwood,FORWARD,4.5,1.18,0.155,NO_PLAY,0,0,True,False,True,0,PENALTY_HELPED
2022-23,34,Gabriel Martinelli Silva,MIDFIELDER,6.8,3.6,0.711,SUB,31,1,True,False,True,-1,PENALTY_HELPED
2022-23,34,Ben Mee,DEFENDER,5.0,3.49,0.878,START,90,2,False,True,False,2,PENALTY_HURT
2022-23,35,Dominic Solanke,FORWARD,5.6,3.04,0.879,START,89,2,False,True,False,2,PENALTY_HURT
2022-23,35,Solly March,MIDFIELDER,5.3,3.12,0.684,SUB,32,1,True,False,True,-1,PENALTY_HELPED
2022-23,37,Sven Botman,DEFENDER,4.5,3.26,0.88,START,90,8,False,True,False,8,PENALTY_HELPED
2022-23,37,Gabriel Martinelli Silva,MIDFIELDER,6.6,3.35,0.662,NO_PLAY,0,0,True,False,True,0,PENALTY_HELPED
2022-23,38,Dominic Solanke,FORWARD,5.6,2.93,0.879,START,90,1,False,True,False,1,PENALTY_HURT
2022-23,38,Marcus Rashford,MIDFIELDER,7.2,2.94,0.24,START,76,2,True,False,True,-2,PENALTY_HELPED
2023-24,17,Jamaal Lascelles,DEFENDER,4.2,3.25,0.88,START,90,6,False,True,False,6,PENALTY_HELPED
2023-24,17,Benjamin White,DEFENDER,5.6,3.27,0.622,START,90,5,True,False,True,-5,PENALTY_HURT
2023-24,20,Cole Palmer,MIDFIELDER,5.6,3.1,0.512,START,90,18,True,False,True,-18,PENALTY_HURT
2023-24,20,Yoane Wissa,FORWARD,5.7,3.07,0.778,START,90,2,False,True,False,2,PENALTY_HURT
2023-24,21,Richarlison de Andrade,MIDFIELDER,6.9,3.42,0.699,START,90,8,True,False,True,-8,PENALTY_HURT
2023-24,21,Yoane Wissa,FORWARD,5.7,3.42,0.821,NO_PLAY,0,0,False,True,False,0,PENALTY_HURT
2023-24,30,Alexandre Moreno Lopera,DEFENDER,5.2,2.4,0.692,START,62,6,True,False,True,-6,PENALTY_HURT
2023-24,30,Benjamin White,DEFENDER,5.7,2.39,0.879,START,90,6,False,True,False,6,PENALTY_HELPED
2024-25,9,Thomas Partey,MIDFIELDER,5.0,2.19,0.878,START,90,2,False,True,False,2,PENALTY_HURT
2024-25,9,Andrew Robertson,DEFENDER,6.0,2.26,0.688,START,62,1,True,False,True,-1,PENALTY_HELPED
2024-25,11,Gabriel dos Santos Magalhães,DEFENDER,6.2,2.61,0.742,START,90,2,False,True,False,2,PENALTY_HURT
2024-25,11,Andrew Robertson,DEFENDER,5.9,2.65,0.512,START,90,8,True,False,True,-8,PENALTY_HURT
2024-25,12,Cameron Archer,FORWARD,5.0,2.85,0.821,SUB,13,1,False,True,False,1,PENALTY_HURT
2024-25,12,Gabriel dos Santos Magalhães,DEFENDER,6.1,2.88,0.742,START,90,6,True,False,True,-6,PENALTY_HURT
2024-25,17,Nikola Milenković,DEFENDER,4.6,3.05,0.88,START,90,6,False,True,False,6,PENALTY_HELPED
2024-25,17,Trent Alexander-Arnold,DEFENDER,7.0,3.12,0.67,START,90,4,True,False,True,-4,PENALTY_HURT
2024-25,19,Francisco Evanilson de Lima Barbosa,FORWARD,6.0,2.94,0.683,START,81,8,True,False,True,-8,PENALTY_HURT
2024-25,19,Antonee Robinson,DEFENDER,4.9,2.87,0.879,START,90,4,False,True,False,4,PENALTY_HELPED
2024-25,20,William Saliba,DEFENDER,6.3,3.13,0.879,START,90,2,False,True,False,2,PENALTY_HURT
2024-25,20,Justin Kluivert,MIDFIELDER,5.5,3.3,0.57,START,69,3,True,False,True,-3,NEUTRAL
2024-25,31,Nikola Milenković,DEFENDER,5.0,2.79,0.88,START,90,1,False,True,False,1,PENALTY_HURT
2024-25,31,Chris Wood,FORWARD,7.1,2.91,0.605,NO_PLAY,0,0,True,False,True,0,PENALTY_HELPED
2024-25,38,Morgan Rogers,MIDFIELDER,5.8,3.22,0.879,START,83,1,False,True,False,1,PENALTY_HURT
2024-25,38,Luis Díaz,MIDFIELDER,7.5,3.49,0.495,START,68,2,True,False,True,-2,PENALTY_HELPED
