Gameweek,Type,Player_Name,Team,Position,Price,Pred_xP,Actual_Points,Pred_xM,Actual_Mins,Detail
1,ZERO_MIN_STARTER,Phil Foden,MCI,MIDFIELDER,8.0,3.07,0,57.9,0,ROTATION_REGULAR
2,ZERO_MIN_STARTER,Cole Palmer,CHE,MIDFIELDER,10.5,3.09,0,43.5,0,ROTATION_REGULAR
2,ZERO_MIN_STARTER,Jeremie Frimpong,LIV,DEFENDER,6.0,1.79,0,45.0,0,ROTATION_REGULAR
3,ZERO_MIN_STARTER,Bukayo Saka,ARS,MIDFIELDER,9.9,2.74,0,45.9,0,REGULAR_STARTER
3,ZERO_MIN_STARTER,Cole Palmer,CHE,MIDFIELDER,10.4,2.47,0,24.6,0,ROTATION_REGULAR
4,ZERO_MIN_STARTER,Bukayo Saka,ARS,MIDFIELDER,9.8,2.93,0,43.4,0,REGULAR_STARTER
4,ZERO_MIN_STARTER,Omar Marmoush,MCI,MIDFIELDER,8.4,3.3,0,45.8,0,REGULAR_STARTER
5,ZERO_MIN_STARTER,Omar Marmoush,MCI,MIDFIELDER,8.3,2.44,0,43.2,0,REGULAR_STARTER
6,ZERO_MIN_STARTER,Cole Palmer,CHE,MIDFIELDER,10.4,3.35,0,43.8,0,ROTATION_REGULAR
8,ZERO_MIN_STARTER,Enzo Fernández,CHE,MIDFIELDER,6.7,4.46,0,76.8,0,NAILED_STARTER
8,ZERO_MIN_STARTER,Cristian Romero,TOT,DEFENDER,5.1,3.41,0,76.6,0,NAILED_STARTER
12,ZERO_MIN_STARTER,Gabriel dos Santos Magalhães,ARS,DEFENDER,6.5,4.97,0,76.6,0,NAILED_STARTER
12,ZERO_MIN_STARTER,Antoine Semenyo,BOU,MIDFIELDER,8.0,5.27,0,76.8,0,NAILED_STARTER
15,ZERO_MIN_STARTER,Daniel Muñoz Mejía,CRY,DEFENDER,6.1,4.12,0,76.6,0,NAILED_STARTER
16,ZERO_MIN_STARTER,Riccardo Calafiori,ARS,DEFENDER,5.7,4.96,0,64.6,0,REGULAR_STARTER
17,ZERO_MIN_STARTER,Bryan Mbeumo,MUN,MIDFIELDER,8.2,3.63,0,76.8,0,NAILED_STARTER
18,ZERO_MIN_STARTER,Riccardo Calafiori,ARS,DEFENDER,5.7,3.92,0,61.1,0,REGULAR_STARTER
18,ZERO_MIN_STARTER,Jurriën Timber,ARS,DEFENDER,6.5,4.7,0,75.8,0,NAILED_STARTER
18,ZERO_MIN_STARTER,Bruno Borges Fernandes,MUN,MIDFIELDER,9.2,4.44,0,59.8,0,REGULAR_STARTER
19,ZERO_MIN_STARTER,Declan Rice,ARS,MIDFIELDER,7.2,3.89,0,76.8,0,NAILED_STARTER
19,ZERO_MIN_STARTER,Marc Cucurella Saseta,CHE,DEFENDER,6.2,3.68,0,76.5,0,NAILED_STARTER
