gameweek,player_name,team,position,predicted_state,actual_state,predicted_xp,actual_points,predicted_xm,actual_minutes,decision_relevance,ledger_category,estimated_point_cost
1,Bukayo Saka,ARS,MIDFIELDER,START,START,3.3,3,58.3,90,STARTER,HARMLESS,0.0
1,Danny Welbeck,BHA,FORWARD,START,SUB,2.58,1,57.2,21,STARTER,PREDICTION_ERROR,1.6
1,Marc Cucurella Saseta,CHE,DEFENDER,START,START,2.65,8,61.1,90,STARTER,HARMLESS,0.0
1,Cole Palmer,CHE,MIDFIELDER,START,START,4.1,3,58.3,90,CAPTAIN,HARMLESS,0.0
1,Marc Guiu Paz,SUN,FORWARD,SUB,NO_PLAY,1.42,0,25.9,0,BENCH,HARMLESS,0.0
1,Alisson Becker,LIV,GOALKEEPER,START,START,2.89,1,64.2,90,BENCH,HARMLESS,0.0
1,Jeremie Frimpong,LIV,DEFENDER,START,START,2.65,1,61.1,59,STARTER,HARMLESS,0.0
1,Milos Kerkez,LIV,DEFENDER,START,START,2.65,0,61.1,59,STARTER,HARMLESS,0.0
1,Omar Marmoush,MCI,MIDFIELDER,START,SUB,3.28,1,58.3,24,STARTER,PREDICTION_ERROR,2.3
1,Phil Foden,MCI,MIDFIELDER,START,NO_PLAY,3.07,0,57.9,0,STARTER,BOTH,3.1
1,Bruno Borges Fernandes,MUN,MIDFIELDER,START,START,3.27,2,58.3,90,STARTER,HARMLESS,0.0
1,Ahmed Abdullahi,SUN,FORWARD,SUB,NO_PLAY,1.42,0,25.9,0,BENCH,HARMLESS,0.0
1,Guglielmo Vicario,TOT,GOALKEEPER,START,START,3.21,9,64.2,90,STARTER,HARMLESS,0.0
1,Pedro Porro Sauceda,TOT,DEFENDER,START,START,3.04,6,61.1,90,STARTER,HARMLESS,0.0
1,Cristian Romero,TOT,DEFENDER,START,START,2.68,6,55.8,90,AUTOSUB_IN,HARMLESS,0.0
2,Bukayo Saka,ARS,MIDFIELDER,START,START,3.52,6,43.5,52,STARTER,HARMLESS,0.0
2,Antoine Semenyo,BOU,MIDFIELDER,START,START,3.59,6,43.4,90,CAPTAIN,HARMLESS,0.0
2,Danny Welbeck,BHA,FORWARD,SUB,START,1.62,0,24.5,90,STARTER,PREDICTION_ERROR,1.6
2,Marc Cucurella Saseta,CHE,DEFENDER,START,START,2.05,5,45.2,68,STARTER,HARMLESS,0.0
2,Cole Palmer,CHE,MIDFIELDER,START,NO_PLAY,3.09,0,43.5,0,STARTER,BOTH,3.1
