Model,Predicted_State,Actual_State,Count,Row_Pct,Col_Pct
V0.9,NO_PLAY,NO_PLAY,15881,90.5,88.2
V0.8,NO_PLAY,NO_PLAY,16559,84.2,92.0
V0.9,NO_PLAY,SUB,1060,6.0,34.3
V0.8,NO_PLAY,SUB,1832,9.3,59.2
V0.9,NO_PLAY,START,605,3.4,7.3
V0.8,NO_PLAY,START,1276,6.5,15.5
V0.9,SUB,NO_PLAY,544,33.8,3.0
V0.8,SUB,NO_PLAY,50,16.2,0.3
V0.9,SUB,SUB,707,43.9,22.9
V0.8,SUB,SUB,136,44.0,4.4
V0.9,SUB,START,360,22.3,4.4
V0.8,SUB,START,123,39.8,1.5
V0.9,START,NO_PLAY,1571,15.4,8.7
V0.8,START,NO_PLAY,1387,14.8,7.7
V0.9,START,SUB,1325,13.0,42.9
V0.8,START,SUB,1124,12.0,36.4
V0.9,START,START,7285,71.6,88.3
V0.8,START,START,6851,73.2,83.0
